eName,eDay,ePlace
综合同人展COMICUP 2021SP,2021/9/5,广州保利世贸博览馆
首届杭州百合ONLY,2021/10/6,下城区香积寺路121号好来登大酒店
妖都JOJO ONLY2021,2021/10/6,番禺区厦滘岭南电商产业园
北京ESONLY,2021/10/6,北京大红门会展中心
左马一摊主游艇茶会,2021/10/6,十六铺码头
2021魔都咒术only,2021/10/3,黄浦区局门路735号【爱菲尔会馆】
广州数码宝贝only,2021/10/4,广州市番禺区厦滘岭南电商园综合楼2楼综合会议厅
NIJIFans Carnival·上海,2021-10-04～2021-10-05,上海市虹口区宝丰联大酒店牡丹厅
广州咒术回战ONLY,2021/10/3,番禺区厦滘岭南电商产业园综合楼2楼综合会议厅
宜昌东方only,2021/10/3,湖北省宜昌市伍家岗区沿江大道162号 怡景美季酒店(宜昌万达滨江店) 3F多功能厅
魔都弹丸论破ONLY,2021/10/3,上海市虹口区逸仙路270号
妖都APHonly,时间待定,番禺区厦滘岭南电商产业园会议中心
魔都排球少年only2.0,2021/10/3,上海市虹口区逸仙路270号宝丰联大酒店
魔都机动战士高达only2,2021/10/3,上海市浦东新区金桥金港路318号上海富豪金丰酒店3楼富豪宴会厅
宁波THO·甬城秋宴,2021/10/2,环城西路南段256号天港漫非酒店
魔都圣斗士星矢ONLY5,2021/10/2,上海市浦东新区金桥金港路318号上海富豪金丰酒店3楼富豪宴会厅
广州五悠CP向主题同好会,2021/10/2,南海区泌冲伯奇路98号维也纳酒店会议中心【广州地铁6号线沙贝站】
综合同人展深圳SGS玩娘购同人展,2021-10-01～2021-10-04,深圳市宝安区福海街道展城路1号深圳国际会展中心（宝安新馆）
